     vehicle name   , time[s]            , dt[s]              , u[ft/s]            , v[ft/s]            , w[ft/s]            , p[rad/s]           , q[rad/s]           , r[rad/s]           , x[ft]              , y[ft]              , z[ft]              , e0                 , ex                 , ey                 , ez                 , aileron[deg]       , elevator[deg]      , rudder[deg]        , throttle           , d_aileron          , d_elevator         , d_rudder           , d_throttle         , aileron_sp[deg]    , elevator_sp[deg]   , rudder_sp[deg]     , throttle_sp[none]  
                F16,  0.000000000000E+00,  1.000000000000E-02,  3.469847117082E+02,  0.000000000000E+00,  4.584331838749E+01, -0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00, -1.000000000000E+03,  9.978438982614E-01,  0.000000000000E+00,  6.563196403104E-02,  0.000000000000E+00,  0.000000000000E+00, -9.086019165449E+00,  0.000000000000E+00,  7.018200235651E-02,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00, -1.485440220732E+01,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00 
                F16,  1.000000000000E-02,  1.000000000000E-02,  3.469847273027E+02, -7.684002245777E-06,  4.584320734367E+01,  5.208409179728E-05, -1.590753469954E-05,  2.434890709076E-06,  3.500000002137E+00, -2.909228411356E-08, -1.000000000249E+03,  9.978438995702E-01,  6.551338035518E-08,  6.563194413160E-02, -1.246151839764E-09, -5.000000000000E-02, -9.036019165449E+00,  0.000000000000E+00,  7.017418539188E-02, -1.000000000000E+01,  1.000000000000E+01,  0.000000000000E+00, -1.555585387179E-03, -1.496336595492E+01, -5.153252886907E-04, -1.815991237666E-04, -9.155641578218E-09 
                F16,  2.000000000000E-02,  1.000000000000E-02,  3.469848493062E+02, -3.021873897989E-05,  4.584233223294E+01,  4.144664082297E-04, -1.268885641968E-04,  1.940289156781E-05,  7.000000036377E+00, -4.605895235442E-07, -1.000000003897E+03,  9.978439191111E-01,  1.039877487410E-06,  6.563164703005E-02, -1.968851600826E-08, -2.000000000000E-01, -8.886019165449E+00, -3.304619788222E-06,  7.015104503954E-02, -2.000000000000E+01,  2.000000000000E+01, -6.293634827268E-04, -3.064851678918E-03, -1.506797426996E+01, -4.117321797224E-03, -1.449670957981E-03, -7.246575364661E-08 
                F16,  3.000000000000E-02,  1.000000000000E-02,  3.469852173795E+02,  2.982191386672E-06,  4.583966155434E+01,  1.391405366885E-03, -4.269955593383E-04,  6.523719434007E-05,  1.050000017679E+01, -2.314382820178E-06, -1.000000019459E+03,  9.978440035327E-01,  5.240095215547E-06,  6.563036329574E-02, -9.890649342486E-08, -4.500000000000E-01, -8.636019165449E+00, -3.507755286196E-05,  7.011303929515E-02, -3.000000000000E+01,  3.000000000000E+01, -5.477864087164E-03, -4.528834476278E-03, -1.516367395023E+01, -1.389244711591E-02, -4.885497446884E-03, -2.235899552261E-07 
                F16,  4.000000000000E-02,  1.000000000000E-02,  3.469860034272E+02,  2.541452758160E-04,  4.583387675912E+01,  3.280644984898E-03, -1.009167328982E-03,  1.540867370887E-04,  1.400000050615E+01, -7.257728900475E-06, -1.000000060697E+03,  9.978442300731E-01,  1.648957146092E-05,  6.562691702167E-02, -3.102204666365E-07, -8.000000000000E-01, -8.286019165449E+00, -1.708034974659E-04,  7.006061589775E-02, -4.000000000000E+01,  4.000000000000E+01, -2.085924428222E-02, -5.948549557029E-03, -1.524584945668E+01, -3.293009755087E-02, -1.156323975791E-02, -4.404744100839E-07 
                F16,  5.000000000000E-02,  1.000000000000E-02,  3.469874071354E+02,  9.751052835292E-04,  4.582337736915E+01,  6.373481967153E-03, -1.965228525586E-03,  2.999694751235E-04,  1.750000104172E+01, -1.756992101087E-05, -1.000000146215E+03,  9.978447059151E-01,  4.008573235257E-05,  6.561967136324E-02, -7.513596680033E-07, -1.250000000000E+00, -7.836019165449E+00, -5.588438437628E-04,  6.999421253245E-02, -5.000000000000E+01,  5.000000000000E+01, -5.490174458715E-02, -7.324992001483E-03, -1.530982464514E+01, -6.432222892929E-02, -2.254543638048E-02, -6.089290354794E-07 
                F16,  6.000000000000E-02,  1.000000000000E-02,  3.469896514491E+02,  2.504782525947E-03,  4.580628602373E+01,  1.095482143501E-02, -3.385887850555E-03,  5.168446090989E-04,  2.100000162454E+01, -3.610010438084E-05, -1.000000299060E+03,  9.978455671277E-01,  8.276796915142E-05,  6.560653405512E-02, -1.544838040961E-06, -1.800000000000E+00, -7.286019165449E+00, -1.434620160446E-03,  6.991425704565E-02, -6.000000000000E+01,  5.833333333333E+01, -1.167820450251E-01, -8.659134541423E-03, -1.535086464067E+01, -1.111629461387E-01, -3.887619269844E-02, -4.865473738391E-07 
                F16,  7.000000000000E-02,  1.000000000000E-02,  3.469929620966E+02,  5.265985019647E-03,  4.578060231292E+01,  1.730322608651E-02, -5.339514594440E-03,  8.187046099857E-04,  2.450000178102E+01, -6.621809055420E-05, -1.000000545956E+03,  9.978469751642E-01,  1.526858687212E-04,  6.558498940086E-02, -2.835934433397E-06, -2.450000000000E+00, -6.694352498782E+00, -3.127778373857E-03,  6.982116768060E-02, -7.000000000000E+01,  6.000000000000E+01, -2.160862324020E-01, -9.951925163079E-03, -1.536417744400E+01, -1.758606384009E-01, -6.157205854149E-02,  2.954222640028E-07 
                F16,  8.000000000000E-02,  1.000000000000E-02,  3.469975296051E+02,  9.761414474087E-03,  4.574457112105E+01,  2.569096311305E-02, -7.838095283723E-03,  1.219680989656E-03,  2.800000065487E+01, -1.117586705068E-04, -1.000000913969E+03,  9.978490984527E-01,  2.593677145915E-04,  6.555234109202E-02, -4.790151945923E-06, -3.200000000000E+00, -6.094352498782E+00, -6.063519875122E-03,  6.971535333632E-02, -7.833333333333E+01,  6.000000000000E+01, -3.622809796892E-01, -1.120428482790E-02, -1.534491457826E+01, -2.590258373055E-01, -9.161182042024E-02,  2.124784903717E-06 
                F16,  9.000000000000E-02,  1.000000000000E-02,  3.470035327924E+02,  1.657906989023E-02,  4.569653602019E+01,  3.631460614889E-02, -1.087748068474E-02,  1.730907338807E-03,  3.149999701084E+01, -1.769210175950E-04, -1.000001428329E+03,  9.978520980156E-01,  4.136021401914E-04,  6.550587272536E-02, -7.588438491251E-06, -3.991666666667E+00, -5.494352498782E+00, -1.075914085005E-02,  6.959721383699E-02, -8.000000000000E+01,  6.000000000000E+01, -5.642826489704E-01, -1.241710764479E-02, -1.528916763058E+01, -3.607519274068E-01, -1.296840723485E-01,  5.360615722598E-06 
